comparison,outcome,outcome_code,family,family_order,outcome_order,cohort1_label,cohort2_label,n1,n2,events1,events2,risk1,risk2,rr,rr_lo,rr_hi,hr,hr_lo,hr_hi,logrank_p,comparison_label,fdr_p,fdr_significant_05
CX1_vs_CTLFX,Mood disorders,F30-F39,Internalizing / neurodevelopmental,1,1,CX1,CTL-FX,68375,68375,6236,2723,0.09120292504570383,0.03982449725776965,2.2901211898641205,2.1920784243438574,2.3925490101178783,2.361891,2.257915,2.470655,0,"CX1 vs CTL-FX (n=68,375 per arm)",0,TRUE
CX1_vs_CTLFX,Anxiety disorders,F40-F48,Internalizing / neurodevelopmental,1,2,CX1,CTL-FX,68375,68375,10686,4694,0.1562851919561243,0.0686508226691042,2.276523221133362,2.203411458177484,2.352060917685382,2.408115,2.326864,2.492203,0,"CX1 vs CTL-FX (n=68,375 per arm)",0,TRUE
CX1_vs_CTLFX,ADHD,F90,Internalizing / neurodevelopmental,1,3,CX1,CTL-FX,68375,68375,6819,2626,0.09972943327239488,0.03840585009140768,2.5967250571210965,2.4855720265760985,2.712848772911678,2.700015,2.581169,2.824332,0,"CX1 vs CTL-FX (n=68,375 per arm)",0,TRUE
CX1_vs_CTLFX,Unspecified psychosis,F29,Internalizing / neurodevelopmental,1,4,CX1,CTL-FX,68375,68375,152,88,0.002223034734917733,0.001287020109689214,1.7272727272727273,1.3287198131468936,2.245372609680755,1.728395,1.329305,2.247301,3.530834105060775e-5,"CX1 vs CTL-FX (n=68,375 per arm)",8.474001852145861e-5,TRUE
CX1_vs_CTLFX,Generalized SUD,F10-F19,Substance use,2,5,CX1,CTL-FX,68375,68375,2440,1421,0.035685557586837294,0.020782449725776964,1.717100633356791,1.6097782864842984,1.8315780563257411,1.731749,1.62211,1.848799,2.419159771052275e-62,"CX1 vs CTL-FX (n=68,375 per arm)",1.4514958626313651e-61,TRUE
CX1_vs_CTLFX,Alcohol-related,F10,Substance use,2,6,CX1,CTL-FX,68375,68375,446,281,0.006522851919561243,0.004109689213893967,1.587188612099644,1.3676046256854038,1.8420292261853533,1.589469,1.369057,1.845366,8.310750877586647e-10,"CX1 vs CTL-FX (n=68,375 per arm)",2.8494003008868503e-9,TRUE
CX1_vs_CTLFX,Cannabis-related,F12,Substance use,2,7,CX1,CTL-FX,68375,68375,1102,569,0.016117001828153565,0.008321755027422304,1.936731107205624,1.7513339378325365,2.1417545224185495,1.945274,1.758083,2.152396,2.250181902367896e-39,"CX1 vs CTL-FX (n=68,375 per arm)",1.08008731313659e-38,TRUE
CX1_vs_CTLFX,Opioid-related,F11,Substance use,2,8,CX1,CTL-FX,68375,68375,106,61,0.001550274223034735,8.921389396709323e-4,1.737704918032787,1.2683969684664853,2.380657205295995,1.738441,1.268715,2.3820769999999998,4.922411454696737e-4,"CX1 vs CTL-FX (n=68,375 per arm)",9.844822909393473e-4,TRUE
CX2_vs_CX1,Mood disorders,F30-F39,Internalizing / neurodevelopmental,1,1,CX2,CX1,22547,22547,3448,3023,0.15292500110879495,0.13407548676098816,1.14058881905392,1.0901682347594763,1.1933413694060189,1.156439,1.101321,1.214315,5.265009339645055e-9,"CX2 vs CX1 (n=22,547 per arm)",1.5795028018935166e-8,TRUE
CX2_vs_CX1,Anxiety disorders,F40-F48,Internalizing / neurodevelopmental,1,2,CX2,CX1,22547,22547,5284,4466,0.23435490309132034,0.19807513194660042,1.1831616659202866,1.1421188115264589,1.2256794245708278,1.220897,1.173213,1.27052,7.939160795430342e-23,"CX2 vs CX1 (n=22,547 per arm)",3.1756643181721367e-22,TRUE
CX2_vs_CX1,ADHD,F90,Internalizing / neurodevelopmental,1,3,CX2,CX1,22547,22547,2817,2463,0.12493901627711004,0.1092384796203486,1.143727161997564,1.0870550932274914,1.2033537483433228,1.159721,1.098682,1.224151,7.606219791803266e-8,"CX2 vs CX1 (n=22,547 per arm)",2.0283252778142043e-7,TRUE
CX2_vs_CX1,Unspecified psychosis,F29,Internalizing / neurodevelopmental,1,4,CX2,CX1,22547,22547,66,77,0.002927218698718233,0.0034150884818379386,0.8571428571428571,0.6172920156678028,1.1901885313650284,0.8566607,0.6166286,1.190129,0.3558855103603574,"CX2 vs CX1 (n=22,547 per arm)",0.47451401381380987,FALSE
CX2_vs_CX1,Generalized SUD,F10-F19,Substance use,2,5,CX2,CX1,22547,22547,1224,1329,0.05428660132168359,0.05894354016055351,0.9209932279909706,0.8540854512705112,0.9931424598597592,0.9188888,0.8502402,0.9930802,0.032674385068811665,"CX2 vs CX1 (n=22,547 per arm)",0.0490115776032175,TRUE
CX2_vs_CX1,Alcohol-related,F10,Substance use,2,6,CX2,CX1,22547,22547,242,237,0.010733135228633521,0.010511376236306382,1.021097046413502,0.854458123073438,1.2202343801754296,1.021456,0.8539469,1.221825,0.8163152877830249,"CX2 vs CX1 (n=22,547 per arm)",0.8905257684905725,FALSE
CX2_vs_CX1,Cannabis-related,F12,Substance use,2,7,CX2,CX1,22547,22547,580,562,0.025724043109948108,0.024925710737570408,1.0320284697508897,0.9203430754355039,1.157267100502026,1.032092,0.9190426,1.159048,0.5935868177485164,"CX2 vs CX1 (n=22,547 per arm)",0.7497938750507576,FALSE
CX2_vs_CX1,Opioid-related,F11,Substance use,2,8,CX2,CX1,22547,22547,39,79,0.0017297201401516831,0.003503792078768794,0.4936708860759494,0.33654696226458264,0.724151369898312,0.493164,0.3360544,0.7237243,2.261277377385732e-4,"CX2 vs CX1 (n=22,547 per arm)",4.933696096114324e-4,TRUE
CX3_vs_CX2,Mood disorders,F30-F39,Internalizing / neurodevelopmental,1,1,CX3,CX2,8911,8911,1559,1445,0.17495230613848053,0.16215912916619907,1.078892733564014,1.010720005016253,1.151663690003358,1.088286,1.013118,1.169032,0.020467779506693363,"CX3 vs CX2 (n=8,911 per arm)",0.035087622011474334,TRUE
CX3_vs_CX2,Anxiety disorders,F40-F48,Internalizing / neurodevelopmental,1,2,CX3,CX2,8911,8911,2332,2194,0.2616990236785995,0.2462125462911009,1.0628988149498633,1.0106971767992905,1.1177966227229068,1.076055,1.015121,1.140647,0.013693161470164673,"CX3 vs CX2 (n=8,911 per arm)",0.025279682714150167,TRUE
CX3_vs_CX2,ADHD,F90,Internalizing / neurodevelopmental,1,3,CX3,CX2,8911,8911,1176,1117,0.13197172034564023,0.1253506901582314,1.052820053715309,0.97533767972516,1.136457750527438,1.058856,0.975604,1.149213,0.170958124500536,"CX3 vs CX2 (n=8,911 per arm)",0.24135264635369788,FALSE
CX3_vs_CX2,Unspecified psychosis,F29,Internalizing / neurodevelopmental,1,4,CX3,CX2,8911,8911,28,25,0.003142183817753339,0.0028055212658511953,1.12,0.6536459385334601,1.9190817628491814,1.120325,0.6533195,1.921157,0.6795035468713122,"CX3 vs CX2 (n=8,911 per arm)",0.7765754821386425,FALSE
CX3_vs_CX2,Generalized SUD,F10-F19,Substance use,2,5,CX3,CX2,8911,8911,523,537,0.058691504881607,0.06026259679048367,0.9739292364990688,0.8665860695586752,1.094568896302152,0.973127,0.8627323,1.097648,0.6575191949315053,"CX3 vs CX2 (n=8,911 per arm)",0.7765754821386425,FALSE
CX3_vs_CX2,Alcohol-related,F10,Substance use,2,6,CX3,CX2,8911,8911,107,109,0.012007631017843115,0.012232072719111212,0.981651376146789,0.7530440720566722,1.2796587345267136,0.9801377,0.7506686,1.279752,0.8828258612336711,"CX3 vs CX2 (n=8,911 per arm)",0.9212095943307872,FALSE
CX3_vs_CX2,Cannabis-related,F12,Substance use,2,7,CX3,CX2,8911,8911,250,248,0.028055212658511953,0.027830770957243855,1.0080645161290323,0.8477605508088122,1.198680532738817,1.008109,0.8457076,1.201696,0.9281708678908697,"CX3 vs CX2 (n=8,911 per arm)",0.9281708678908697,FALSE
CX3_vs_CX2,Opioid-related,F11,Substance use,2,8,CX3,CX2,8911,8911,30,15,0.003366625519021434,0.001683312759510717,2,1.0768463270999002,3.7145504417260415,2.002074,1.077225,3.720949,0.025120477051967,"CX3 vs CX2 (n=8,911 per arm)",0.0401927632831472,TRUE
