"","Cohort","Cohort Name","Patients in Cohort","Patients with Outcome","Risk","Risk Ratio","95 % CI Lower","95 % CI Upper","Outcome","CohortFile","TimeWindow","OutcomeLabel"
"1",1,"CX2 V12",28570,1714,0.0599929996499825,1.28293413173653,1.19664688281931,1.37544334089331,"Outcome_1","Concuss_2x","5 year","Substance Use Disorder"
"2",2,"Unnamed",28570,1336,0.0467623381169058,NA,NA,NA,"Outcome_1","Concuss_2x","5 year","Substance Use Disorder"
"3",1,"CX2 V12",28570,328,0.0114805740287014,1.69948186528497,1.42371541617003,2.02866287576082,"Outcome_2","Concuss_2x","5 year","Alcohol Dependence"
"4",2,"Unnamed",28570,193,0.00675533776688834,NA,NA,NA,"Outcome_2","Concuss_2x","5 year","Alcohol Dependence"
"5",1,"CX2 V12",28570,766,0.0268113405670284,1.42644320297952,1.27902336502953,1.59085460591213,"Outcome_3","Concuss_2x","5 year","Cannabis Dependence"
"6",2,"Unnamed",28570,537,0.0187959397969899,NA,NA,NA,"Outcome_3","Concuss_2x","5 year","Cannabis Dependence"
"7",1,"CX2 V12",28570,4643,0.162513125656283,1.22571277719113,1.17805674328277,1.27529664486541,"Outcome_4","Concuss_2x","5 year","Mood [Affective] Disorder"
"8",2,"Unnamed",28570,3788,0.132586629331467,NA,NA,NA,"Outcome_4","Concuss_2x","5 year","Mood [Affective] Disorder"
"9",1,"CX2 V12",28570,6893,0.241267063353168,1.23177269478199,1.193907111498,1.27083921102267,"Outcome_5","Concuss_2x","5 year","Anxiety Disorder"
"10",2,"Unnamed",28570,5596,0.195869793489674,NA,NA,NA,"Outcome_5","Concuss_2x","5 year","Anxiety Disorder"
"11",1,"CX2 V12",28570,3389,0.118620931046552,1.07621467132423,1.02818271614011,1.12649045796223,"Outcome_6","Concuss_2x","5 year","ADHD"
"12",2,"Unnamed",28570,3149,0.110220511025551,NA,NA,NA,"Outcome_6","Concuss_2x","5 year","ADHD"
"13",1,"CX2 V12",28570,83,0.00290514525726286,0.902173913043478,0.670848967135166,1.21326529405268,"Outcome_7","Concuss_2x","5 year","Psychosis"
"14",2,"Unnamed",28570,92,0.0032201610080504,NA,NA,NA,"Outcome_7","Concuss_2x","5 year","Psychosis"
"15",1,"CX2 V12",28570,64,0.00224011200560028,1.10344827586207,0.773746163709984,1.57364023837584,"Outcome_8","Concuss_2x","5 year","Opioid Disorder"
"16",2,"Unnamed",28570,58,0.00203010150507525,NA,NA,NA,"Outcome_8","Concuss_2x","5 year","Opioid Disorder"
"17",1,"CX3 V12",12028,840,0.0698370468905886,1.24260355029586,1.1265281681922,1.37063912541638,"Outcome_1","Concuss_3x","5 year","Substance Use Disorder"
"18",2,"Unnamed",12028,676,0.0562021948786166,NA,NA,NA,"Outcome_1","Concuss_3x","5 year","Substance Use Disorder"
"19",1,"CX3 V12",12028,179,0.0148819421350183,1.57017543859649,1.24320186560426,1.9831460812467,"Outcome_2","Concuss_3x","5 year","Alcohol Dependence"
"20",2,"Unnamed",12028,114,0.00947788493515131,NA,NA,NA,"Outcome_2","Concuss_3x","5 year","Alcohol Dependence"
"21",1,"CX3 V12",12028,392,0.0325906218822747,1.42545454545455,1.2243413301191,1.65960309528991,"Outcome_3","Concuss_3x","5 year","Cannabis Dependence"
"22",2,"Unnamed",12028,275,0.0228633189225141,NA,NA,NA,"Outcome_3","Concuss_3x","5 year","Cannabis Dependence"
"23",1,"CX3 V12",12028,2199,0.182823412038577,1.15191199580932,1.08932819826032,1.21809134125832,"Outcome_4","Concuss_3x","5 year","Mood [Affective] Disorder"
"24",2,"Unnamed",12028,1909,0.158713002993016,NA,NA,NA,"Outcome_4","Concuss_3x","5 year","Mood [Affective] Disorder"
"25",1,"CX3 V12",12028,3236,0.269038909211839,1.2211320754717,1.16775026068723,1.27695415359467,"Outcome_5","Concuss_3x","5 year","Anxiety Disorder"
"26",2,"Unnamed",12028,2650,0.2203192550715,NA,NA,NA,"Outcome_5","Concuss_3x","5 year","Anxiety Disorder"
"27",1,"CX3 V12",12028,1521,0.126454938476887,1.00862068965517,0.943642749973237,1.0780729207418,"Outcome_6","Concuss_3x","5 year","ADHD"
"28",2,"Unnamed",12028,1508,0.125374127036914,NA,NA,NA,"Outcome_6","Concuss_3x","5 year","ADHD"
"29",1,"CX3 V12",12028,38,0.00315929497838377,0.730769230769231,0.481336122128015,1.10946102752086,"Outcome_7","Concuss_3x","5 year","Psychosis"
"30",2,"Unnamed",12028,52,0.00432324575989358,NA,NA,NA,"Outcome_7","Concuss_3x","5 year","Psychosis"
"31",1,"CX3 V12",12028,38,0.00315929497838377,1.08571428571429,0.686427242183496,1.71726213320795,"Outcome_8","Concuss_3x","5 year","Opioid Disorder"
"32",2,"Unnamed",12028,35,0.00290987695377452,NA,NA,NA,"Outcome_8","Concuss_3x","5 year","Opioid Disorder"
"33",1,"CX1 V12",100138,4922,0.0491521700053925,1.58592177278115,1.51755433232573,1.65736923931198,"Outcome_1",NA,"5 year","Substance Use Disorder"
"34",2,"Unnamed",100120,3103,0.0309928086296444,NA,NA,NA,"Outcome_1",NA,"5 year","Substance Use Disorder"
"35",1,"CX1 V12",100678,934,0.00927710125350126,1.89132676405388,1.69653793691175,2.10848036498262,"Outcome_2",NA,"5 year","Alcohol Dependence"
"36",2,"Unnamed",100712,494,0.00490507585987767,NA,NA,NA,"Outcome_2",NA,"5 year","Alcohol Dependence"
"37",1,"CX1 V12",100601,2209,0.0219580322263198,1.69565928737565,1.58431320876579,1.81483080678422,"Outcome_3",NA,"5 year","Cannabis Dependence"
"38",2,"Unnamed",100544,1302,0.0129495544239338,NA,NA,NA,"Outcome_3",NA,"5 year","Cannabis Dependence"
"39",1,"CX1 V12",98152,9864,0.100497188034885,1.16681875100746,1.13499132052746,1.1995386864015,"Outcome_4",NA,"5 year","Mood [Affective] Disorder"
"40",2,"Unnamed",98329,8469,0.0861292192537298,NA,NA,NA,"Outcome_4",NA,"5 year","Mood [Affective] Disorder"
"41",1,"CX1 V12",96176,14394,0.149663117617701,1.07386856672874,1.05075635995404,1.09748914454201,"Outcome_5",NA,"5 year","Anxiety Disorder"
"42",2,"Unnamed",96263,13416,0.139368189231584,NA,NA,NA,"Outcome_5",NA,"5 year","Anxiety Disorder"
"43",1,"CX1 V12",94911,5880,0.0619527768119607,0.996541044174726,0.962394480212637,1.03189915688776,"Outcome_6",NA,"5 year","ADHD"
"44",2,"Unnamed",96143,5977,0.0621678125292533,NA,NA,NA,"Outcome_6",NA,"5 year","ADHD"
"45",1,"CX1 V12",100648,271,0.00269255226134647,1.22757234478048,1.02799098902159,1.4659018199217,"Outcome_7",NA,"5 year","Psychosis"
"46",2,"Unnamed",100757,221,0.002193395992338,NA,NA,NA,"Outcome_7",NA,"5 year","Psychosis"
"47",1,"CX1 V12",100829,265,0.00262821212151266,1.66666666666667,1.36944303492236,2.02839965368495,"Outcome_8",NA,"5 year","Opioid Disorder"
"48",2,"Unnamed",100829,159,0.00157692727290759,NA,NA,NA,"Outcome_8",NA,"5 year","Opioid Disorder"
